	SV CODE	SV EXPERIMENT CODE	SV EXPERIMENT QA STATUS	SV EXPERIMENT SNR	SV EXPERIMENT WBW	SV IS A VALID EXPERIMENT?	SV IS A VALID VOXEL?
et2024 	svs000 	idf0000 	NA 	89.51 	5.12 	YES 	YES 	et2024 	svs000 	idf0000 	0 	89.51 	5.12 	0 	0
et3162 	svs000 	idf0000 	NA 	90.64 	3.88 	YES 	YES 	et3162 	svs000 	idf0000 	0 	90.64 	3.88 	0 	0
et3162 	svs000 	idf0001 	NA 	37.45 	3.66 	YES 	YES 	et3162 	svs000 	idf0001 	0 	37.45 	3.66 	0 	0
et3163 	svs000 	idf0000 	NA 			YES 	YES 	et3163 	svs000 	idf0000 	0 	0.0 	0.0 	0 	0
et3163 	svs000 	idf0001 	NA 	92.02 	1.59 	YES 	YES 	et3163 	svs000 	idf0001 	0 	92.02 	1.59 	0 	0
et3163 	svs000 	idf0002 	NA 	9.45 	1.94 	YES 	YES 	et3163 	svs000 	idf0002 	0 	9.45 	1.94 	0 	0
et3164 	svs000 	idf0000 	NA 	61.78 	9.45 	YES 	YES 	et3164 	svs000 	idf0000 	0 	61.78 	9.45 	0 	0
et3164 	svs000 	idf0001 	NA 	6.54 	8.56 	YES 	YES 	et3164 	svs000 	idf0001 	0 	6.54 	8.56 	0 	0
et3166 	svs000 	idf0000 	NA 	27.37 	4.46 	YES 	YES 	et3166 	svs000 	idf0000 	0 	27.37 	4.46 	0 	0
et3167 	svs000 	idf0000 	NA 	69.5 	4.17 	YES 	YES 	et3167 	svs000 	idf0000 	0 	69.5 	4.17 	0 	0
et3167 	svs000 	idf0001 	NA 	38.82 	3.69 	YES 	YES 	et3167 	svs000 	idf0001 	0 	38.82 	3.69 	0 	0
et3167 	svs001 	idf0000 	NA 	152 	3.13 	YES 	YES 	et3167 	svs001 	idf0000 	0 	152.0 	3.13 	0 	0
et3168 	svs000 	idf0000 	NA 	99.25 	4.04 	YES 	YES 	et3168 	svs000 	idf0000 	0 	99.25 	4.04 	0 	0
et3168 	svs000 	idf0001 	NA 	31.32 	3.66 	YES 	YES 	et3168 	svs000 	idf0001 	0 	31.32 	3.66 	0 	0
et3169 	svs000 	idf0000 	NA 	25.01 	3.21 	YES 	YES 	et3169 	svs000 	idf0000 	0 	25.01 	3.21 	0 	0
et3169 	svs000 	idf0001 	NA 	15.88 	3.21 	YES 	YES 	et3169 	svs000 	idf0001 	0 	15.88 	3.21 	0 	0
et3170 	svs000 	idf0000 	NA 	34.34 	6.33 	YES 	YES 	et3170 	svs000 	idf0000 	0 	34.34 	6.33 	0 	0
et3170 	svs000 	idf0001 	NA 	37.44 	5.16 	YES 	YES 	et3170 	svs000 	idf0001 	0 	37.44 	5.16 	0 	0
et3172 	svs000 	idf0000 	NA 	63.07 	4.33 	YES 	YES 	et3172 	svs000 	idf0000 	0 	63.07 	4.33 	0 	0
et3172 	svs000 	idf0001 	NA 	14.87 	3.66 	YES 	YES 	et3172 	svs000 	idf0001 	0 	14.87 	3.66 	0 	0
et3173 	svs000 	idf0000 	NA 	33.12 	7.99 	YES 	YES 	et3173 	svs000 	idf0000 	0 	33.12 	7.99 	0 	0
et3173 	svs000 	idf0001 	NA 	36.34 	5.029 	YES 	YES 	et3173 	svs000 	idf0001 	0 	36.34 	5.029 	0 	0
et3174 	svs000 	idf0000 	NA 	33.88 	3.82 	YES 	YES 	et3174 	svs000 	idf0000 	0 	33.88 	3.82 	0 	0
et3174 	svs000 	idf0001 	NA 	31.05 	3.12 	YES 	YES 	et3174 	svs000 	idf0001 	0 	31.05 	3.12 	0 	0
et3176 	svs000 	idf0000 	NA 	108.86 	2.44 	YES 	YES 	et3176 	svs000 	idf0000 	0 	108.86 	2.44 	0 	0
et3176 	svs000 	idf0002 	NA 	22.54 	2.44 	YES 	YES 	et3176 	svs000 	idf0002 	0 	22.54 	2.44 	0 	0
et3178 	svs000 	idf0000 	NA 	22.28 	1.92 	YES 	YES 	et3178 	svs000 	idf0000 	0 	22.28 	1.92 	0 	0
et3179 	svs000 	idf0000 	NA 	59 	2.93 	YES 	YES 	et3179 	svs000 	idf0000 	0 	59.0 	2.93 	0 	0
et3179 	svs000 	idf0001 	NA 	56.9 	2.19 	YES 	YES 	et3179 	svs000 	idf0001 	0 	56.9 	2.19 	0 	0
et3180 	svs000 	idf0000 	NA 	157 	6.58 	YES 	YES 	et3180 	svs000 	idf0000 	0 	157.0 	6.58 	0 	0
et3180 	svs000 	idf0001 	NA 	10.8 	4.14 	YES 	YES 	et3180 	svs000 	idf0001 	0 	10.8 	4.14 	0 	0
et3181 	svs000 	idf0000 	NA 	106.13 	5.85 	YES 	YES 	et3181 	svs000 	idf0000 	0 	106.13 	5.85 	0 	0
et3181 	svs000 	idf0001 	NA 	42.29 	4.14 	YES 	YES 	et3181 	svs000 	idf0001 	0 	42.29 	4.14 	0 	0
et3182 	svs000 	idf0000 	NA 	52.95 	4.63 	YES 	YES 	et3182 	svs000 	idf0000 	0 	52.95 	4.63 	0 	0
et3182 	svs000 	idf0001 	NA 	49.04 	4.88 	YES 	YES 	et3182 	svs000 	idf0001 	0 	49.04 	4.88 	0 	0
et3183 	svs000 	idf0000 	NA 	42.47 	8.53 	YES 	YES 	et3183 	svs000 	idf0000 	0 	42.47 	8.53 	0 	0
et3184 	svs000 	idf0002 	NA 	13.67 	0 	YES 	YES 	et3184 	svs000 	idf0002 	0 	13.67 	0.0 	0 	0
et3184 	svs000 	idf0003 	NA 	8.2 	0 	YES 	YES 	et3184 	svs000 	idf0003 	0 	8.2 	0.0 	0 	0
et3185 	svs000 	idf0019 	NA 	44.31 	4.88 	YES 	YES 	et3185 	svs000 	idf0019 	0 	44.31 	4.88 	0 	0
et3185 	svs000 	idf0020 	NA 	50.25 	5.36 	YES 	YES 	et3185 	svs000 	idf0020 	0 	50.25 	5.36 	0 	0
et3186 	svs001 	idf0000 	NA 	31.28 	2.19 	YES 	YES 	et3186 	svs001 	idf0000 	0 	31.28 	2.19 	0 	0
et3186 	svs001 	idf0001 	NA 	31.56 	2.44 	YES 	YES 	et3186 	svs001 	idf0001 	0 	31.56 	2.44 	0 	0
et3187 	svs000 	idf0000 	NA 	75.68 	2.19 	YES 	YES 	et3187 	svs000 	idf0000 	0 	75.68 	2.19 	0 	0
et3187 	svs000 	idf0001 	NA 	75.95 	2.19 	YES 	YES 	et3187 	svs000 	idf0001 	0 	75.95 	2.19 	0 	0
et3188 	svs000 	idf0000 	NA 			YES 	YES 	et3188 	svs000 	idf0000 	0 	0.0 	0.0 	0 	0
et3188 	svs000 	idf0001 	NA 			YES 	YES 	et3188 	svs000 	idf0001 	0 	0.0 	0.0 	0 	0
et3189 	svs000 	idf0000 	NA 			YES 	YES 	et3189 	svs000 	idf0000 	0 	0.0 	0.0 	0 	0
et3189 	svs000 	idf0001 	NA 			YES 	YES 	et3189 	svs000 	idf0001 	0 	0.0 	0.0 	0 	0
et3189 	svs001 	idf0000 	NA 			YES 	YES 	et3189 	svs001 	idf0000 	0 	0.0 	0.0 	0 	0
et3190 	svs000 	idf0000 	NA 	63.86 	6.43 	YES 	YES 	et3190 	svs000 	idf0000 	0 	63.86 	6.43 	0 	0
et3190 	svs000 	idf0001 	NA 	32.85 	6.43 	YES 	YES 	et3190 	svs000 	idf0001 	0 	32.85 	6.43 	0 	0
et3191 	svs000 	idf0000 	NA 	20.77 	3.35 	YES 	YES 	et3191 	svs000 	idf0000 	0 	20.77 	3.35 	0 	0
et3191 	svs000 	idf0001 	NA 	10.94 	3.35 	YES 	YES 	et3191 	svs000 	idf0001 	0 	10.94 	3.35 	0 	0
et3192 	svs000 	idf0000 	NA 	49.86 	3.35 	YES 	YES 	et3192 	svs000 	idf0000 	0 	49.86 	3.35 	0 	0
et3192 	svs000 	idf0001 	NA 	49.56 	3.35 	YES 	YES 	et3192 	svs000 	idf0001 	0 	49.56 	3.35 	0 	0
et3193 	svs000 	idf0000 	NA 	180.4 	0 	YES 	YES 	et3193 	svs000 	idf0000 	0 	180.4 	0.0 	0 	0
et3193 	svs000 	idf0001 	NA 	107.77 	0 	YES 	YES 	et3193 	svs000 	idf0001 	0 	107.77 	0.0 	0 	0
et3194 	svs000 	idf0000 	NA 	47.51 	3.35 	YES 	YES 	et3194 	svs000 	idf0000 	0 	47.51 	3.35 	0 	0
et3194 	svs000 	idf0001 	NA 	34.47 	3.35 	YES 	YES 	et3194 	svs000 	idf0001 	0 	34.47 	3.35 	0 	0
et3195 	svs000 	idf0000 	NA 	20.75 	5.66 	YES 	YES 	et3195 	svs000 	idf0000 	0 	20.75 	5.66 	0 	0
et3195 	svs000 	idf0001 	NA 	15.48 	5.66 	YES 	YES 	et3195 	svs000 	idf0001 	0 	15.48 	5.66 	0 	0
et3226 	svs000 	idf0000 	NA 	98.64 	6.43 	YES 	YES 	et3226 	svs000 	idf0000 	0 	98.64 	6.43 	0 	0
et3226 	svs000 	idf0001 	NA 	92.51 	6.43 	YES 	YES 	et3226 	svs000 	idf0001 	0 	92.51 	6.43 	0 	0
et3227 	svs000 	idf0000 	NA 	35.5 	6.43 	YES 	YES 	et3227 	svs000 	idf0000 	0 	35.5 	6.43 	0 	0
et3228 	svs000 	idf0000 	NA 	48.57 	6.43 	YES 	YES 	et3228 	svs000 	idf0000 	0 	48.57 	6.43 	0 	0
et3228 	svs000 	idf0001 	NA 	9.59 	6.43 	YES 	YES 	et3228 	svs000 	idf0001 	0 	9.59 	6.43 	0 	0
et3229 	svs000 	idf0000 	NA 	55.72 	6.43 	YES 	YES 	et3229 	svs000 	idf0000 	0 	55.72 	6.43 	0 	0
et3229 	svs000 	idf0001 	NA 	44.43 	6.43 	YES 	YES 	et3229 	svs000 	idf0001 	0 	44.43 	6.43 	0 	0
et3230 	svs000 	idf0000 	NA 	31.6 	6.43 	YES 	YES 	et3230 	svs000 	idf0000 	0 	31.6 	6.43 	0 	0
et3230 	svs000 	idf0001 	NA 	21.44 	6.43 	YES 	YES 	et3230 	svs000 	idf0001 	0 	21.44 	6.43 	0 	0
et3231 	svs000 	idf0000 	NA 	61.85 	6.43 	YES 	YES 	et3231 	svs000 	idf0000 	0 	61.85 	6.43 	0 	0
et3231 	svs000 	idf0001 	NA 	37.96 	6.43 	YES 	YES 	et3231 	svs000 	idf0001 	0 	37.96 	6.43 	0 	0
et3233 	svs000 	idf0000 	NA 	52.61 	3.25 	YES 	YES 	et3233 	svs000 	idf0000 	0 	52.61 	3.25 	0 	0
et3233 	svs000 	idf0001 	NA 	21.07 	2.8 	YES 	YES 	et3233 	svs000 	idf0001 	0 	21.07 	2.8 	0 	0
et3234 	svs000 	idf0000 	NA 	19.15 	7.87 	YES 	YES 	et3234 	svs000 	idf0000 	0 	19.15 	7.87 	0 	0
et3234 	svs000 	idf0001 	NA 	47.45 	7.26 	YES 	YES 	et3234 	svs000 	idf0001 	0 	47.45 	7.26 	0 	0
et3234 	svs001 	idf0000 	NA 	62.57 	5.6 	YES 	YES 	et3234 	svs001 	idf0000 	0 	62.57 	5.6 	0 	0
et3235 	svs000 	idf0000 	NA 	69.43 	6.08 	YES 	YES 	et3235 	svs000 	idf0000 	0 	69.43 	6.08 	0 	0
et3235 	svs000 	idf0001 	NA 	20.85 	8.98 	YES 	YES 	et3235 	svs000 	idf0001 	0 	20.85 	8.98 	0 	0
et3235 	svs001 	idf0000 	NA 	57.08 	7.83 	YES 	YES 	et3235 	svs001 	idf0000 	0 	57.08 	7.83 	0 	0
et3236 	svs000 	idf0000 	NA 	52.39 	4.62 	YES 	YES 	et3236 	svs000 	idf0000 	0 	52.39 	4.62 	0 	0
et3236 	svs000 	idf0001 	NA 	64.47 	4.87 	YES 	YES 	et3236 	svs000 	idf0001 	0 	64.47 	4.87 	0 	0
et3236 	svs001 	idf0000 	NA 	60.86 	5.89 	YES 	YES 	et3236 	svs001 	idf0000 	0 	60.86 	5.89 	0 	0
et3237 	svs000 	idf0000 	NA 	60.8 	5.16 	YES 	YES 	et3237 	svs000 	idf0000 	0 	60.8 	5.16 	0 	0
et3258 	svs000 	idf0000 	NA 	136.68 	4.39 	YES 	YES 	et3258 	svs000 	idf0000 	0 	136.68 	4.39 	0 	0
et3258 	svs000 	idf0001 	NA 	77.2 	3.9 	YES 	YES 	et3258 	svs000 	idf0001 	0 	77.2 	3.9 	0 	0
et3259 	svs000 	idf0000 	NA 	112.92 	4.63 	YES 	YES 	et3259 	svs000 	idf0000 	0 	112.92 	4.63 	0 	0
et3259 	svs000 	idf0001 	NA 	30.95 	4.14 	YES 	YES 	et3259 	svs000 	idf0001 	0 	30.95 	4.14 	0 	0
et3260 	svs000 	idf0000 	NA 	155.29 	4.14 	YES 	YES 	et3260 	svs000 	idf0000 	0 	155.29 	4.14 	0 	0
et3260 	svs000 	idf0001 	NA 	16.71 	5.85 	YES 	YES 	et3260 	svs000 	idf0001 	0 	16.71 	5.85 	0 	0
et3261 	svs000 	idf0000 	NA 	85.89 	5.85 	YES 	YES 	et3261 	svs000 	idf0000 	0 	85.89 	5.85 	0 	0
et3261 	svs000 	idf0001 	NA 	37.23 	6.09 	YES 	YES 	et3261 	svs000 	idf0001 	0 	37.23 	6.09 	0 	0
et3262 	svs000 	idf0000 	NA 	114.49 	2.68 	YES 	YES 	et3262 	svs000 	idf0000 	0 	114.49 	2.68 	0 	0
et3262 	svs000 	idf0001 	NA 	26.33 	2.93 	YES 	YES 	et3262 	svs000 	idf0001 	0 	26.33 	2.93 	0 	0
et3263 	svs000 	idf0000 	NA 	30.33 	3.5 	YES 	YES 	et3263 	svs000 	idf0000 	0 	30.33 	3.5 	0 	0
et3263 	svs000 	idf0001 	NA 	12.84 	2.96 	YES 	YES 	et3263 	svs000 	idf0001 	0 	12.84 	2.96 	0 	0
et3264 	svs000 	idf0000 	NA 	110.34 	5.19 	YES 	YES 	et3264 	svs000 	idf0000 	0 	110.34 	5.19 	0 	0
et3264 	svs000 	idf0001 	NA 	88.29 	5.12 	YES 	YES 	et3264 	svs000 	idf0001 	0 	88.29 	5.12 	0 	0
et3287 	svs000 	idf0000 	NA 	62.95 	6.43 	YES 	YES 	et3287 	svs000 	idf0000 	0 	62.95 	6.43 	0 	0
et3287 	svs000 	idf0001 	NA 	78.71 	6.43 	YES 	YES 	et3287 	svs000 	idf0001 	0 	78.71 	6.43 	0 	0
et3288 	svs000 	idf0000 	NA 	101.45 	8.53 	YES 	YES 	et3288 	svs000 	idf0000 	0 	101.45 	8.53 	0 	0
et3288 	svs000 	idf0001 	NA 	30.04 	8.29 	YES 	YES 	et3288 	svs000 	idf0001 	0 	30.04 	8.29 	0 	0
et3290 	svs000 	idf0000 	NA 			YES 	YES 	et3290 	svs000 	idf0000 	0 	0.0 	0.0 	0 	0
et3290 	svs000 	idf0001 	NA 	39.33 	6.43 	YES 	YES 	et3290 	svs000 	idf0001 	0 	39.33 	6.43 	0 	0
et3290 	svs000 	idf0002 	NA 	29.04 	6.43 	YES 	YES 	et3290 	svs000 	idf0002 	0 	29.04 	6.43 	0 	0
et3291 	svs000 	idf0000 	NA 	50.6 	6.43 	YES 	YES 	et3291 	svs000 	idf0000 	0 	50.6 	6.43 	0 	0
et3291 	svs000 	idf0001 	NA 	58.3 	6.43 	YES 	YES 	et3291 	svs000 	idf0001 	0 	58.3 	6.43 	0 	0
et3311 	svs000 	idf0000 	NA 	47 	3.41 	YES 	YES 	et3311 	svs000 	idf0000 	0 	47.0 	3.41 	0 	0
et3311 	svs000 	idf0001 	NA 	66.53 	2.93 	YES 	YES 	et3311 	svs000 	idf0001 	0 	66.53 	2.93 	0 	0
et3312 	svs000 	idf0000 	NA 	62.86 	6.43 	YES 	YES 	et3312 	svs000 	idf0000 	0 	62.86 	6.43 	0 	0
et3312 	svs000 	idf0001 	NA 	33.33 	6.43 	YES 	YES 	et3312 	svs000 	idf0001 	0 	33.33 	6.43 	0 	0
et3313 	svs000 	idf0000 	NA 	39.16 	6.43 	YES 	YES 	et3313 	svs000 	idf0000 	0 	39.16 	6.43 	0 	0
et3313 	svs000 	idf0001 	NA 	15.89 	6.43 	YES 	YES 	et3313 	svs000 	idf0001 	0 	15.89 	6.43 	0 	0
et3314 	svs000 	idf0000 	NA 	90.73 	6.43 	YES 	YES 	et3314 	svs000 	idf0000 	0 	90.73 	6.43 	0 	0
et3314 	svs000 	idf0001 	NA 	18.59 	6.43 	YES 	YES 	et3314 	svs000 	idf0001 	0 	18.59 	6.43 	0 	0
et3316 	svs000 	idf0000 	NA 	79.12 	8.55 	YES 	YES 	et3316 	svs000 	idf0000 	0 	79.12 	8.55 	0 	0
et3316 	svs000 	idf0001 	NA 	42.68 	8.55 	YES 	YES 	et3316 	svs000 	idf0001 	0 	42.68 	8.55 	0 	0
et3317 	svs000 	idf0000 	NA 	61.47 	8.55 	YES 	YES 	et3317 	svs000 	idf0000 	0 	61.47 	8.55 	0 	0
et3317 	svs000 	idf0001 	NA 	9.9 	8.55 	YES 	YES 	et3317 	svs000 	idf0001 	0 	9.9 	8.55 	0 	0
et3318 	svs000 	idf0006 	NA 	22.25 	8.55 	YES 	YES 	et3318 	svs000 	idf0006 	0 	22.25 	8.55 	0 	0
et3318 	svs000 	idf0009 	NA 	16.38 	8.55 	YES 	YES 	et3318 	svs000 	idf0009 	0 	16.38 	8.55 	0 	0
et3319 	svs000 	idf0000 	NA 	59.72 	8.55 	YES 	YES 	et3319 	svs000 	idf0000 	0 	59.72 	8.55 	0 	0
et3319 	svs000 	idf0001 	NA 	38.16 	8.55 	YES 	YES 	et3319 	svs000 	idf0001 	0 	38.16 	8.55 	0 	0
et3320 	svs000 	idf0000 	NA 	40.49 	6.83 	YES 	YES 	et3320 	svs000 	idf0000 	0 	40.49 	6.83 	0 	0
et3320 	svs000 	idf0001 	NA 	13.5 	6.34 	YES 	YES 	et3320 	svs000 	idf0001 	0 	13.5 	6.34 	0 	0
et3321 	svs000 	idf0001 	NA 	168.7 	4.39 	YES 	YES 	et3321 	svs000 	idf0001 	0 	168.7 	4.39 	0 	0
et3321 	svs000 	idf0002 	NA 	52.96 	4.14 	YES 	YES 	et3321 	svs000 	idf0002 	0 	52.96 	4.14 	0 	0
et3322 	svs000 	idf0001 	NA 	28.8 	1.71 	YES 	YES 	et3322 	svs000 	idf0001 	0 	28.8 	1.71 	0 	0
et3322 	svs000 	idf0004 	NA 	10.8 	4.14 	YES 	YES 	et3322 	svs000 	idf0004 	0 	10.8 	4.14 	0 	0
et3323 	svs000 	idf0000 	NA 	55.21 	4.63 	YES 	YES 	et3323 	svs000 	idf0000 	0 	55.21 	4.63 	0 	0
et3323 	svs000 	idf0001 	NA 	49.47 	3.9 	YES 	YES 	et3323 	svs000 	idf0001 	0 	49.47 	3.9 	0 	0
et3325 	svs000 	idf0005 	NA 	107.65 	6.43 	YES 	YES 	et3325 	svs000 	idf0005 	0 	107.65 	6.43 	0 	0
et3325 	svs000 	idf0006 	NA 	107.73 	6.43 	YES 	YES 	et3325 	svs000 	idf0006 	0 	107.73 	6.43 	0 	0
et3327 	svs000 	idf0001 	NA 			YES 	YES 	et3327 	svs000 	idf0001 	0 	0.0 	0.0 	0 	0
et3327 	svs000 	idf0002 	NA 			YES 	YES 	et3327 	svs000 	idf0002 	0 	0.0 	0.0 	0 	0
et3328 	svs000 	idf0000 	NA 			YES 	YES 	et3328 	svs000 	idf0000 	0 	0.0 	0.0 	0 	0
et3328 	svs000 	idf0001 	NA 			YES 	YES 	et3328 	svs000 	idf0001 	0 	0.0 	0.0 	0 	0
et3329 	svs000 	idf0000 	NA 			YES 	YES 	et3329 	svs000 	idf0000 	0 	0.0 	0.0 	0 	0
et3329 	svs000 	idf0001 	NA 			YES 	YES 	et3329 	svs000 	idf0001 	0 	0.0 	0.0 	0 	0
et3330 	svs000 	idf0003 	NA 			YES 	YES 	et3330 	svs000 	idf0003 	0 	0.0 	0.0 	0 	0
et3330 	svs000 	idf0009 	NA 			YES 	YES 	et3330 	svs000 	idf0009 	0 	0.0 	0.0 	0 	0
et3330 	svs000 	idf0010 	NA 			YES 	YES 	et3330 	svs000 	idf0010 	0 	0.0 	0.0 	0 	0
et3331 	svs000 	idf0000 	NA 			YES 	YES 	et3331 	svs000 	idf0000 	0 	0.0 	0.0 	0 	0
et3333 	svs000 	idf0000 	NA 	97.14 	4.27 	YES 	YES 	et3333 	svs000 	idf0000 	0 	97.14 	4.27 	0 	0
et3334 	svs000 	idf0000 	NA 	30.61 	3.05 	YES 	YES 	et3334 	svs000 	idf0000 	0 	30.61 	3.05 	0 	0
et3335 	svs000 	idf0000 	NA 	24.91 	3.66 	YES 	YES 	et3335 	svs000 	idf0000 	0 	24.91 	3.66 	0 	0
et3335 	svs000 	idf0001 	NA 	4.45 	4.27 	YES 	YES 	et3335 	svs000 	idf0001 	0 	4.45 	4.27 	0 	0
et3336 	svs000 	idf0000 	NA 	105.13 	6.1 	YES 	YES 	et3336 	svs000 	idf0000 	0 	105.13 	6.1 	0 	0
et3337 	svs000 	idf0000 	NA 	52.21 	7.93 	YES 	YES 	et3337 	svs000 	idf0000 	0 	52.21 	7.93 	0 	0
et3338 	svs000 	idf0000 	NA 	265.95 	6.71 	YES 	YES 	et3338 	svs000 	idf0000 	0 	265.95 	6.71 	0 	0
et3338 	svs000 	idf0001 	NA 	40.53 	4.88 	YES 	YES 	et3338 	svs000 	idf0001 	0 	40.53 	4.88 	0 	0
et3339 	svs000 	idf0000 	NA 	111.66 	2.44 	YES 	YES 	et3339 	svs000 	idf0000 	0 	111.66 	2.44 	0 	0
et3340 	svs000 	idf0000 	NA 	23.14 	7.32 	YES 	YES 	et3340 	svs000 	idf0000 	0 	23.14 	7.32 	0 	0
et3341 	svs000 	idf0000 	NA 	377.58 	2.44 	YES 	YES 	et3341 	svs000 	idf0000 	0 	377.58 	2.44 	0 	0
et3341 	svs000 	idf0001 	NA 	322.97 	2.44 	YES 	YES 	et3341 	svs000 	idf0001 	0 	322.97 	2.44 	0 	0
et3342 	svs000 	idf0000 	NA 	56.56 	4.27 	YES 	YES 	et3342 	svs000 	idf0000 	0 	56.56 	4.27 	0 	0
et3343 	svs000 	idf0000 	NA 	72.78 	4.27 	YES 	YES 	et3343 	svs000 	idf0000 	0 	72.78 	4.27 	0 	0
et3343 	svs000 	idf0001 	NA 	7.37 	4.27 	YES 	YES 	et3343 	svs000 	idf0001 	0 	7.37 	4.27 	0 	0
et3344 	svs000 	idf0000 	NA 	76.92 	11.59 	YES 	YES 	et3344 	svs000 	idf0000 	0 	76.92 	11.59 	0 	0
et3345 	svs000 	idf0000 	NA 	68.54 	4.27 	YES 	YES 	et3345 	svs000 	idf0000 	0 	68.54 	4.27 	0 	0
et3345 	svs000 	idf0001 	NA 	40.95 	4.88 	YES 	YES 	et3345 	svs000 	idf0001 	0 	40.95 	4.88 	0 	0
et3346 	svs000 	idf0000 	NA 	26.54 	2.44 	YES 	YES 	et3346 	svs000 	idf0000 	0 	26.54 	2.44 	0 	0
et3347 	svs000 	idf0000 	NA 	25.4 	4.27 	YES 	YES 	et3347 	svs000 	idf0000 	0 	25.4 	4.27 	0 	0
et3348 	svs000 	idf0000 	NA 	48.55 	6.1 	YES 	YES 	et3348 	svs000 	idf0000 	0 	48.55 	6.1 	0 	0
et3348 	svs000 	idf0001 	NA 	22.3 	5.49 	YES 	YES 	et3348 	svs000 	idf0001 	0 	22.3 	5.49 	0 	0
et3349 	svs000 	idf0000 	NA 	44.8 	3.05 	YES 	YES 	et3349 	svs000 	idf0000 	0 	44.8 	3.05 	0 	0
et3349 	svs000 	idf0001 	NA 	4.34 	2.44 	YES 	YES 	et3349 	svs000 	idf0001 	0 	4.34 	2.44 	0 	0
et3350 	svs000 	idf0000 	NA 	30.98 	5.49 	YES 	YES 	et3350 	svs000 	idf0000 	0 	30.98 	5.49 	0 	0
et3350 	svs000 	idf0001 	NA 	14.78 	4.88 	YES 	YES 	et3350 	svs000 	idf0001 	0 	14.78 	4.88 	0 	0
et3351 	svs000 	idf0000 	NA 	181.74 	2.44 	YES 	YES 	et3351 	svs000 	idf0000 	0 	181.74 	2.44 	0 	0
et3351 	svs000 	idf0001 	NA 	20 	2.44 	YES 	YES 	et3351 	svs000 	idf0001 	0 	20.0 	2.44 	0 	0
et3352 	svs000 	idf0000 	NA 	236.06 	3.05 	YES 	YES 	et3352 	svs000 	idf0000 	0 	236.06 	3.05 	0 	0
et3352 	svs000 	idf0001 	NA 	28.43 	3.05 	YES 	YES 	et3352 	svs000 	idf0001 	0 	28.43 	3.05 	0 	0
et3353 	svs000 	idf0000 	NA 	57.45 	3.66 	YES 	YES 	et3353 	svs000 	idf0000 	0 	57.45 	3.66 	0 	0
et3353 	svs000 	idf0001 	NA 	44.07 	3.05 	YES 	YES 	et3353 	svs000 	idf0001 	0 	44.07 	3.05 	0 	0
et3354 	svs000 	idf0000 	NA 	64.46 	7.93 	YES 	YES 	et3354 	svs000 	idf0000 	0 	64.46 	7.93 	0 	0
et3354 	svs000 	idf0001 	NA 	32.1 	7.32 	YES 	YES 	et3354 	svs000 	idf0001 	0 	32.1 	7.32 	0 	0
et3355 	svs000 	idf0000 	NA 	247.06 	5.49 	YES 	YES 	et3355 	svs000 	idf0000 	0 	247.06 	5.49 	0 	0
et3355 	svs000 	idf0001 	NA 	50.73 	6.1 	YES 	YES 	et3355 	svs000 	idf0001 	0 	50.73 	6.1 	0 	0
et3356 	svs000 	idf0011 	NA 	40.2 	11.6 	YES 	YES 	et3356 	svs000 	idf0011 	0 	40.2 	11.6 	0 	0
et3356 	svs000 	idf0012 	NA 	18.92 	11.3 	YES 	YES 	et3356 	svs000 	idf0012 	0 	18.92 	11.3 	0 	0
et3357 	svs000 	idf0000 	NA 	38.79 	5.03 	YES 	YES 	et3357 	svs000 	idf0000 	0 	38.79 	5.03 	0 	0
et3357 	svs000 	idf0001 	NA 	85.5 	5.03 	YES 	YES 	et3357 	svs000 	idf0001 	0 	85.5 	5.03 	0 	0
et3358 	svs000 	idf0000 	NA 	160.3 	10.22 	YES 	YES 	et3358 	svs000 	idf0000 	0 	160.3 	10.22 	0 	0
et3358 	svs000 	idf0001 	NA 	17.61 	9.01 	YES 	YES 	et3358 	svs000 	idf0001 	0 	17.61 	9.01 	0 	0
et3358 	svs001 	idf0000 	NA 	55.62 	6.05 	YES 	YES 	et3358 	svs001 	idf0000 	0 	55.62 	6.05 	0 	0
et3359 	svs003 	idf0000 	NA 			YES 	YES 	et3359 	svs003 	idf0000 	0 	0.0 	0.0 	0 	0
et3359 	svs003 	idf0001 	NA 			YES 	YES 	et3359 	svs003 	idf0001 	0 	0.0 	0.0 	0 	0
et3359 	svs004 	idf0000 	NA 			YES 	YES 	et3359 	svs004 	idf0000 	0 	0.0 	0.0 	0 	0
et3360 	svs000 	idf0000 	NA 	101.83 	9.39 	YES 	YES 	et3360 	svs000 	idf0000 	0 	101.83 	9.39 	0 	0
et3360 	svs000 	idf0001 	NA 	16.58 	6.37 	YES 	YES 	et3360 	svs000 	idf0001 	0 	16.58 	6.37 	0 	0
et3360 	svs001 	idf0000 	NA 	59 	6.34 	YES 	YES 	et3360 	svs001 	idf0000 	0 	59.0 	6.34 	0 	0
et3361 	svs000 	idf0000 	NA 	59.32 	7.58 	YES 	YES 	et3361 	svs000 	idf0000 	0 	59.32 	7.58 	0 	0
et3361 	svs000 	idf0001 	NA 	7.42 	7 	YES 	YES 	et3361 	svs000 	idf0001 	0 	7.42 	7.0 	0 	0
et3361 	svs001 	idf0000 	NA 	58.17 	5.25 	YES 	YES 	et3361 	svs001 	idf0000 	0 	58.17 	5.25 	0 	0
et3362 	svs000 	idf0000 	NA 	116.34 	6.18 	YES 	YES 	et3362 	svs000 	idf0000 	0 	116.34 	6.18 	0 	0
